id,species,key,#reads_downloaded,#reads_before,#reads_clean,#contigs_before,#contigs_clean,genome_size,coverage,busco
SRR15979808,Formica argentea,Farga4,13538585,13538585,4833991,325126,247996,338955572,1.44,"C:23.9%[S:23.9%,D:0.0%],F:58.3%,M:17.8%,n:954,E:4.4%   "
SRR15979809,Formica transmontanis,Ftras,22099673,22099673,8502456,298970,199656,367715269,2.33,"C:48.2%[S:47.9%,D:0.3%],F:43.8%,M:8.0%,n:954,E:4.8%   "
SRR15979810,Formica cf. xerophila F0140,Fxera2,12701799,12701799,4422497,319205,250343,361642460,1.23,"C:12.3%[S:12.2%,D:0.1%],F:57.8%,M:29.9%,n:954,E:7.7%   "
SRR15979811,Formica xerophila,Fxera1,22994964,22994964,8927349,256315,182164,357938053,2.51,"C:54.0%[S:53.8%,D:0.2%],F:39.4%,M:6.6%,n:954,E:5.2%   "
SRR15979812,Formica subpolita,Fsubt1,13213929,13213929,4189522,475466,233425,439114701,0.96,"C:9.3%[S:9.2%,D:0.1%],F:55.3%,M:35.4%,n:954,E:6.7%   "
SRR15979813,Formica rufibarbis,Frufs2,22967978,12748440,9979685,233581,168771,365767118,2.75,"C:69.9%[S:69.8%,D:0.1%],F:26.9%,M:3.2%,n:954,E:4.3%   "
SRR15979814,Formica orangea,Foraa,17996203,9726567,7508211,360872,273891,406645343,1.86,"C:30.7%[S:30.7%,D:0.0%],F:55.9%,M:13.4%,n:954,E:6.1%   "
SRR15979815,Formica fossaceps,Ffoss,10224564,5991890,3655848,273466,244903,284141491,1.29,"C:11.2%[S:11.2%,D:0.0%],F:58.0%,M:30.8%,n:954,E:9.3%   "
SRR15979816,Formica cf. sibylla F0133,Fsiba3,11171089,5577520,3315739,290860,230553,332556557,1.01,"C:8.0%[S:7.9%,D:0.1%],F:56.5%,M:35.5%,n:954,E:6.6%   "
SRR15979817,Formica nr. occulta F0131,Focca,25738632,25738632,9865565,337814,237128,498764425,1.99,"C:34.4%[S:34.3%,D:0.1%],F:52.1%,M:13.5%,n:954,E:5.8%   "
SRR15979818,Formica neorufibarbis,Fneoi,20354889,10366839,8452436,170367,124738,277020706,3.08,"C:77.9%[S:77.6%,D:0.3%],F:18.4%,M:3.7%,n:954,E:4.7%   "
SRR15979819,Formica puberula,Fpuba,12068663,6193528,3876700,349582,244854,332084734,1.18,"C:8.1%[S:8.1%,D:0.0%],F:57.9%,M:34.0%,n:954,E:11.7%   "
SRR15979820,Formica glacialis,Fglas2,24944193,24944193,7688917,360612,262985,479133160,1.62,"C:20.4%[S:20.3%,D:0.1%],F:58.5%,M:21.1%,n:954,E:4.1%   "
SRR15979821,Formica gagates,Fgags,10246627,4534390,3121004,237783,231227,243111527,1.29,"C:2.9%[S:2.9%,D:0.0%],F:43.2%,M:53.9%,n:954   "
SRR15979822,Formica cunicularia,Fcuna,9704419,5180968,3295725,281659,232841,297701685,1.12,"C:6.9%[S:6.9%,D:0.0%],F:57.8%,M:35.3%,n:954,E:7.6%   "
SRR15979823,Formica nr. montana F0117,Fmona,10492596,5340985,2694867,235640,181625,303029841,0.9,"C:3.4%[S:3.4%,D:0.0%],F:49.2%,M:47.4%,n:954,E:6.2%   "
SRR15979824,Formica propatula,Fprol,9114621,9114621,2515508,236794,166033,296953344,0.85,"C:2.4%[S:2.4%,D:0.0%],F:42.0%,M:55.6%,n:954,E:17.4%   "
SRR15979825,Formica integroides,Fints1,12604510,6279018,3813034,355556,247649,319926857,1.2,"C:13.3%[S:13.3%,D:0.0%],F:60.9%,M:25.8%,n:954,E:6.3%   "
SRR15979826,Formica coloradensis,Fcols,6367273,3754275,2248723,265617,213653,241290696,0.94,"C:5.6%[S:5.6%,D:0.0%],F:54.2%,M:40.2%,n:954,E:9.4%   "
SRR15979827,Formica hewitti,Fhewi,22022493,11606797,8108130,187521,146296,295902913,2.76,"C:72.1%[S:71.8%,D:0.3%],F:24.1%,M:3.8%,n:954,E:5.5%   "
SRR15979828,Formica argentea,Farga3,13402461,13402461,4333574,329769,248104,411536217,1.06,"C:9.4%[S:9.4%,D:0.0%],F:54.8%,M:35.8%,n:954,E:7.8%   "
SRR15979829,Formica neoclara,Fneoa1,28580522,28580522,10600261,259956,160454,411135619,2.6,"C:64.2%[S:64.2%,D:0.0%],F:30.0%,M:5.8%,n:954,E:4.6%   "
SRR15979830,Formica gnava,Fgnaa1,1536978,871234,305374,57339,56654,57230191,0.54,"C:0.3%[S:0.3%,D:0.0%],F:13.9%,M:85.8%,n:954   "
SRR15979831,Formica subaenescens,Fsubc2,8330674,5053587,3294293,287957,254930,246670010,1.34,"C:9.7%[S:9.7%,D:0.0%],F:57.8%,M:32.5%,n:954,E:7.5%   "
SRR15979832,Formica foreliana,Ffora,9938700,6136495,5204809,274453,268575,230484640,2.27,"C:36.9%[S:36.9%,D:0.0%],F:52.6%,M:10.5%,n:954,E:7.4%   "
SRR15979833,Formica canadensis,Fcans,10121731,5962241,3720227,300952,247596,319752077,1.17,"C:11.8%[S:11.8%,D:0.0%],F:60.7%,M:27.5%,n:954,E:6.2%   "
SRR15979834,Formica subaenescens,Fsubc1,7324338,4009455,2219085,209067,158191,325484446,0.69,"C:1.5%[S:1.5%,D:0.0%],F:35.2%,M:63.3%,n:954,E:7.1%   "
SRR15979835,Formica cf. altipetens F0100,Falts2,4757129,2625356,1251426,161948,131152,160366596,0.79,"C:1.2%[S:1.2%,D:0.0%],F:37.8%,M:61.0%,n:954,E:18.2%   "
SRR15979836,Formica altipetens,Falts1,4914347,2800774,1389120,171019,137666,196289262,0.71,"C:1.3%[S:1.3%,D:0.0%],F:33.9%,M:64.8%,n:954   "
SRR15979837,Formica ciliata,Fcila,8950485,5176911,3109166,336898,238984,294475366,1.06,"C:9.4%[S:9.4%,D:0.0%],F:59.4%,M:31.2%,n:954,E:8.9%   "
SRR15979838,Formica aerata,Faera,4824766,2801428,1576956,215412,205060,164037319,0.97,"C:4.7%[S:4.7%,D:0.0%],F:46.2%,M:49.1%,n:954,E:13.3%   "
SRR15979839,Formica accreta,Facca,6851033,3883639,2139115,197687,182553,254141194,0.85,"C:3.0%[S:3.0%,D:0.0%],F:44.0%,M:53.0%,n:954   "
SRR15979842,Formica reflexa,Frefa,12512583,6262497,4705167,307890,254857,312455571,1.52,"C:22.7%[S:22.7%,D:0.0%],F:55.6%,M:21.7%,n:954,E:7.4%   "
SRR15979844,Formica querquetulana,Fquea,16290268,16290268,6515108,391529,243958,392015948,1.68,"C:27.8%[S:27.7%,D:0.1%],F:55.9%,M:16.3%,n:954,E:7.2%   "
SRR15979845,Formica nevadensis,Fnevs,10353091,5415946,3136258,313213,223719,313107642,1.01,"C:6.8%[S:6.8%,D:0.0%],F:54.8%,M:38.4%,n:954,E:9.2%   "
SRR15979846,Formica nepticula,Fnepa,11484559,6499240,4270022,358224,253855,303297816,1.42,"C:18.5%[S:18.4%,D:0.1%],F:58.7%,M:22.8%,n:954,E:8.5%   "
SRR15979847,Formica cf. densiventris F0075,Fdens1,8788223,4818388,2947979,312026,232097,269272004,1.1,"C:5.5%[S:5.5%,D:0.0%],F:54.1%,M:40.4%,n:954,E:11.5%   "
SRR15979848,Formica neoclara,Fneoa2,16530892,12066290,9440093,67150,37057,345515342,4.07,"C:96.6%[S:95.7%,D:0.9%],F:2.7%,M:0.7%,n:954,E:3.7%   "
SRR15979850,Formica densiventris,Fdens2,12087558,6526841,4401143,368769,269428,306427740,1.45,"C:19.3%[S:19.2%,D:0.1%],F:58.9%,M:21.8%,n:954,E:5.4%   "
SRR15979851,Formica dakotensis,Fdaks1,12142982,6684114,4607684,306759,236431,274233841,1.69,"C:29.1%[S:28.9%,D:0.2%],F:56.5%,M:14.4%,n:954,E:7.2%   "
SRR15979852,Formica dolosa,Fdola,15966877,10210171,8320620,169767,152741,293918828,2.85,"C:68.5%[S:68.3%,D:0.2%],F:26.7%,M:4.8%,n:954,E:3.8%   "
SRR15979853,Formica archboldi,Farci,11761507,7426616,5980884,232718,218912,253797797,2.37,"C:52.3%[S:52.2%,D:0.1%],F:40.3%,M:7.4%,n:954,E:5.4%   "
SRR15979854,Formica pallidefulva,Fpala,19524264,11468986,9198821,171310,143300,315819077,2.93,"C:72.7%[S:72.4%,D:0.3%],F:24.6%,M:2.7%,n:954,E:4.8%   "
SRR15979855,Formica incerta,Finca1,15087048,15087048,4981569,285992,246533,400792328,1.25,"C:12.6%[S:12.6%,D:0.0%],F:58.4%,M:29.0%,n:954,E:6.7%   "
SRR15979857,Formica wheeleri,Fwhei,13861931,8324533,6011797,366424,257282,376266843,1.61,"C:15.8%[S:15.8%,D:0.0%],F:61.4%,M:22.8%,n:954,E:7.9%   "
SRR15979858,Formica rubicunda,Fruba1,7186875,3969958,1996774,200757,134076,215197421,0.93,"C:1.4%[S:1.4%,D:0.0%],F:33.0%,M:65.6%,n:954,E:7.7%   "
SRR15979859,Iberoformica subrufa,Isuba,17609560,9088275,7122751,262197,229554,302768957,2.37,"C:30.3%[S:30.3%,D:0.0%],F:55.6%,M:14.1%,n:954,E:4.8%   "
SRR15979860,Formica rubicunda,Fruba2,14763383,8526422,5749017,358858,234645,355913914,1.63,"C:30.2%[S:30.2%,D:0.0%],F:53.9%,M:15.9%,n:954,E:5.6%   "
SRR15979861,Formica pergandei,Fperi,12020184,6775174,4006883,356034,234540,349012323,1.15,"C:9.3%[S:9.3%,D:0.0%],F:57.8%,M:32.9%,n:954,E:11.2%   "
SRR15979862,Formica emeryi,Femei,10181877,5864621,3693381,342252,240942,305922322,1.21,"C:8.6%[S:8.6%,D:0.0%],F:56.5%,M:34.9%,n:954,E:6.1%   "
SRR15979863,Formica obtusopilosa,Fobta,11753344,11753344,3659751,301083,218834,385187373,0.96,"C:7.8%[S:7.8%,D:0.0%],F:53.0%,M:39.2%,n:954,E:5.4%   "
SRR15979864,Formica aserva,Fasea1,12693894,7404306,4806337,364257,250871,331373415,1.46,"C:20.2%[S:20.2%,D:0.0%],F:60.4%,M:19.4%,n:954,E:11.4%   "
SRR15979865,Formica aserva,Fasea3,10915349,6233844,4066054,344960,254281,299909502,1.36,"C:16.8%[S:16.7%,D:0.1%],F:56.2%,M:27.0%,n:954,E:4.4%   "
SRR15979866,Formica lasioides,Flass,47551858,47551858,24642366,970826,158275,346165883,7.16,"C:74.9%[S:73.9%,D:1.0%],F:21.4%,M:3.7%,n:954,E:2.8%   "
SRR15979867,Formica perpilosa,Fpera,69521505,41236085,33679350,1250039,190868,296728612,11.42,"C:72.8%[S:72.2%,D:0.6%],F:23.0%,M:4.2%,n:954,E:3.0%   "
SRR15979868,Formica neogagates,Fneoe,10760194,6310886,5093866,248367,237424,233289189,2.2,"C:42.6%[S:42.6%,D:0.0%],F:47.3%,M:10.1%,n:954,E:5.2%   "
SRR15979869,Formica manni,Fmani,18107120,10219406,8743475,144809,130028,270246840,3.25,"C:77.0%[S:76.6%,D:0.4%],F:20.4%,M:2.6%,n:954,E:4.1%   "
SRR15979870,Formica ulkei,Fulki,13155182,9643036,7001363,96798,61880,322916923,3.23,"C:94.7%[S:93.8%,D:0.9%],F:4.6%,M:0.7%,n:954,E:3.5%   "
SRR15979871,Formica exsectoides,Fexss,17236026,17236026,6762127,545457,241169,545182306,1.25,"C:7.8%[S:7.8%,D:0.0%],F:55.6%,M:36.6%,n:954,E:9.5%   "
SRR15979872,Formica cf. planipilis F0028,Fplas,9784153,5752374,3715697,328382,241639,287410632,1.3,"C:13.4%[S:13.4%,D:0.0%],F:58.2%,M:28.4%,n:954,E:7.8%   "
SRR15979873,Formica ravida,Frava,11014580,6403831,4344869,294522,240798,281550206,1.55,"C:25.7%[S:25.7%,D:0.0%],F:56.5%,M:17.8%,n:954,E:6.5%   "
SRR15979874,Formica subnitens,Fsubn,14934971,8646155,6477228,362700,261340,377244517,1.73,"C:25.7%[S:25.5%,D:0.2%],F:56.6%,M:17.7%,n:954,E:7.8%   "
SRR15979875,Formica uralensis,Furas,18931457,18931457,7424481,451598,263843,449855553,1.66,"C:14.2%[S:14.2%,D:0.0%],F:61.0%,M:24.8%,n:954,E:5.2%   "
SRR15979876,Formica polyctena,Fpola,14251561,8338465,6132392,382544,262474,354259933,1.74,"C:18.2%[S:18.2%,D:0.0%],F:63.3%,M:18.5%,n:954,E:8.0%   "
SRR15979877,Formica rufa,Frufa,13177632,7429688,4918325,370990,249011,338812406,1.46,"C:19.4%[S:19.4%,D:0.0%],F:59.7%,M:20.9%,n:954,E:5.9%   "
SRR15979878,Formica cf. frontalis F0017,Ffros,15286794,9319881,7091083,314538,223737,318321310,2.24,"C:43.4%[S:43.3%,D:0.1%],F:46.0%,M:10.6%,n:954,E:6.3%   "
SRR15979879,Formica propinqua,Fprou,37737310,37737310,16780148,233151,85821,420897766,4.01,"C:88.6%[S:88.2%,D:0.4%],F:10.2%,M:1.2%,n:954,E:4.1%   "
SRR15845610,Formica cinerea,Fcina2,22989217,22989217,11267018,1545124,125712,303826823,3.74,"C:85.2%[S:84.5%,D:0.7%],F:12.8%,M:2.0%,n:954,E:3.4%   "
SRR15845621,Formica cinerea,Fcina1,25139679,25139679,13526034,1567998,67852,247812597,5.5,"C:95.4%[S:94.4%,D:1.0%],F:3.4%,M:1.2%,n:954,E:2.9%   "
SRR15845632,Formica truncorum,Ftrum1,21810495,21810495,11081415,1734055,79980,248167175,4.5,"C:94.3%[S:93.3%,D:1.0%],F:4.7%,M:1.0%,n:954,E:3.1%   "
SRR15845271,Formica truncorum,Ftrum2,22682748,22682748,12213758,160249,44685,311806196,3.95,"C:94.4%[S:93.5%,D:0.9%],F:5.0%,M:0.6%,n:954,E:4.1%   "
SRR15845282,Formica lemani,Flemi3,23219842,23219842,10252622,2284262,148372,310449339,3.33,"C:79.8%[S:79.2%,D:0.6%],F:17.3%,M:2.9%,n:954,E:3.8%   "
SRR15845293,Formica lemani,Flemi1,26164220,26164220,13322795,268445,173899,361840422,3.71,"C:96.5%[S:92.2%,D:4.3%],F:3.0%,M:0.5%,n:954,E:3.1%   "
SRR15845377,Formica lemani,Flemi2,22725962,22725962,11021559,158640,48375,321772638,3.45,"C:94.4%[S:93.6%,D:0.8%],F:4.5%,M:1.1%,n:954,E:3.6%   "
SRR15845476,Polyergus mexicanus,Pmexs,19736220,14999750,12278315,275273,56046,244102813,7.52,"C:97.3%[S:96.3%,D:1.0%],F:2.1%,M:0.6%,n:954,E:3.7%   "
SRR15845487,Polyergus vinosus,Pvins,13211860,9861619,8469748,264404,67318,236253868,5.36,"C:96.6%[S:95.7%,D:0.9%],F:2.7%,M:0.7%,n:954,E:3.7%   "
SRR15845488,Formica exsecta,Fexsa3,22785148,22785148,10986421,280331,55933,321606154,3.44,"C:93.6%[S:93.0%,D:0.6%],F:5.8%,M:0.6%,n:954,E:3.5%   "
SRR15845499,Formica fennica,Ffena,14021382,9850415,6598443,149399,81502,330814691,2.95,"C:92.2%[S:91.5%,D:0.7%],F:6.8%,M:1.0%,n:954,E:3.4%   "
SRR15845510,Formica lugubris,Flugs,15291636,10873909,7358926,162023,73207,354265021,3.07,"C:91.6%[S:90.9%,D:0.7%],F:7.1%,M:1.3%,n:954,E:4.3%   "
SRR15845521,Formica fuscocinerea,Ffuse,16652775,12280852,9437041,129704,86554,371711305,3.77,"C:95.2%[S:94.2%,D:1.0%],F:3.6%,M:1.2%,n:954,E:3.9%   "
SRR15845526,Formica picea,Fpica,25084958,25084958,12165041,1351658,144141,303740362,4.04,"C:82.3%[S:81.6%,D:0.7%],F:15.1%,M:2.6%,n:954,E:3.4%   "
SRR15845527,Formica exsecta,Fexsa2,23962129,23962129,12282558,2765514,72225,251045132,4.93,"C:96.2%[S:95.3%,D:0.9%],F:3.1%,M:0.7%,n:954,E:3.5%   "
SRR15845528,Formica selysi,Fseli,39350378,39350378,26427979,283735,112697,277732007,18.24,"C:98.0%[S:95.9%,D:2.1%],F:1.3%,M:0.7%,n:954,E:3.7%   "
SRR15845536,Formica sanguinea,Fsana,13607703,9766529,7131278,137760,80151,419422968,2.52,"C:92.3%[S:91.1%,D:1.2%],F:6.2%,M:1.5%,n:954,E:4.3%   "
SRR15845547,Formica pratensis,Fpras,15609531,11580044,8684466,94199,54910,369271148,3.5,"C:91.7%[S:90.7%,D:1.0%],F:7.0%,M:1.3%,n:954,E:4.2%   "
SRR15845558,Formica pressilabris,Fpres,15685221,11529548,8092106,121791,67202,358198998,3.36,"C:94.1%[S:93.4%,D:0.7%],F:4.9%,M:1.0%,n:954,E:4.0%   "
SRR15845569,Formica fusca,Ffusc,12093679,8821547,6798620,109043,60139,316203520,3.19,"C:95.0%[S:94.5%,D:0.5%],F:4.2%,M:0.8%,n:954,E:3.2%   "
SRR15845580,Formica tombeuri,Ftomi,15022324,10841386,8386703,88144,42310,362850294,3.43,"C:95.5%[S:94.7%,D:0.8%],F:3.7%,M:0.8%,n:954,E:4.2%   "
SRR15845591,Formica rufibarbis,Frufs1,24508591,24508591,12789041,122397,37578,334083987,3.86,"C:94.6%[S:93.9%,D:0.7%],F:4.4%,M:1.0%,n:954,E:4.5%   "
SRR5819598,Formica exsecta,Fexsa1,64199902,41828336,23837596,345468,90546,371591505,3.89,"C:80.8%[S:80.2%,D:0.6%],F:15.5%,M:3.7%,n:954,E:3.4%   "
